Имя Катушки;Тип катушки;Тип оболочки;Толщина стены;Мин. Радиус Изгиба;Единицы измерения;Внутренний диаметр до усадки;Наружный диаметр;Цвет;Плотность Провода;Единицы измерения массы;Наименование;Обозначение;Стандарт;
TRUBKA_305_TV-40_0-5_WHTV;SHEATH;TUBE;0.3;5;MM;0.5;1.1;Белый;0.00097;GRAM;Трубка 305 ТВ-40, 0,5, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_0-5_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_0-75_WHTV;SHEATH;TUBE;0.3;5;MM;0.75;1.35;Белый;0.00127;GRAM;Трубка 305 ТВ-40, 0,75, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_0-75_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_1_WHTV;SHEATH;TUBE;0.4;5;MM;1;1.8;Белый;0.00226;GRAM;Трубка 305 ТВ-40, 1, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_1_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_1-5_WHTV;SHEATH;TUBE;0.4;5;MM;1.5;2.3;Белый;0.00306;GRAM;Трубка 305 ТВ-40, 1,5, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_1-5_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_1-75_WHTV;SHEATH;TUBE;0.4;5;MM;1.75;2.55;Белый;0.00347;GRAM;Трубка 305 ТВ-40, 1,75, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_1-75_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_2_WHTV;SHEATH;TUBE;0.4;5;MM;2;2.8;Белый;0.00387;GRAM;Трубка 305 ТВ-40, 2, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_2_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_2-5_WHTV;SHEATH;TUBE;0.4;5;MM;2.5;3.3;Белый;0.00468;GRAM;Трубка 305 ТВ-40, 2,5, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_2-5_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_3_WHTV;SHEATH;TUBE;0.4;5;MM;3;3.8;Белый;0.00548;GRAM;Трубка 305 ТВ-40, 3, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_3_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_3-5_WHTV;SHEATH;TUBE;0.4;5;MM;3.5;4.3;Белый;0.00629;GRAM;Трубка 305 ТВ-40, 3,5, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_3-5_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_4_WHTV;SHEATH;TUBE;0.6;7;MM;4;5.2;Белый;0.01112;GRAM;Трубка 305 ТВ-40, 4, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_4_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_4-5_WHTV;SHEATH;TUBE;0.6;7;MM;4.5;5.7;Белый;0.01233;GRAM;Трубка 305 ТВ-40, 4,5, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_4-5_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_5_WHTV;SHEATH;TUBE;0.6;7;MM;5;6.2;Белый;0.01354;GRAM;Трубка 305 ТВ-40, 5, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_5_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_6_WHTV;SHEATH;TUBE;0.6;7;MM;6;7.2;Белый;0.01596;GRAM;Трубка 305 ТВ-40, 6, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_6_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_7_WHTV;SHEATH;TUBE;0.6;7;MM;7;8.2;Белый;0.01838;GRAM;Трубка 305 ТВ-40, 7, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_7_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_8_WHTV;SHEATH;TUBE;0.6;7;MM;8;9.2;Белый;0.0208;GRAM;Трубка 305 ТВ-40, 8, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_8_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_9_WHTV;SHEATH;TUBE;0.6;7;MM;9;10.2;Белый;0.02322;GRAM;Трубка 305 ТВ-40, 9, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_9_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_10_WHTV;SHEATH;TUBE;0.7;7;MM;10;11.4;Белый;0.03019;GRAM;Трубка 305 ТВ-40, 10, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_10_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_12_WHTV;SHEATH;TUBE;0.7;7;MM;12;13.4;Белый;0.03853;GRAM;Трубка 305 ТВ-40, 12, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_12_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_14_WHTV;SHEATH;TUBE;0.7;7;MM;14;15.4;Белый;0.04148;GRAM;Трубка 305 ТВ-40, 14, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_14_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_16_WHTV;SHEATH;TUBE;0.9;10;MM;16;17.8;Белый;0.06131;GRAM;Трубка 305 ТВ-40, 16, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_16_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_18_WHTV;SHEATH;TUBE;0.9;10;MM;18;19.8;Белый;0.06856;GRAM;Трубка 305 ТВ-40, 18, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_18_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_20_WHTV;SHEATH;TUBE;1.15;10;MM;20;22.3;Белый;0.09804;GRAM;Трубка 305 ТВ-40, 20, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_20_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_22_WHTV;SHEATH;TUBE;1.15;10;MM;22;24.3;Белый;0.10731;GRAM;Трубка 305 ТВ-40, 22, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_22_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_25_WHTV;SHEATH;TUBE;1.15;10;MM;25;27.3;Белый;0.12121;GRAM;Трубка 305 ТВ-40, 25, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_25_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_30_WHTV;SHEATH;TUBE;1.3;10;MM;30;32.6;Белый;0.17719;GRAM;Трубка 305 ТВ-40, 30, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_30_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_35_WHTV;SHEATH;TUBE;1.3;10;MM;35;37.6;Белый;0.2054;GRAM;Трубка 305 ТВ-40, 35, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_35_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_40_WHTV;SHEATH;TUBE;2;12;MM;40;44;Белый;0.29449;GRAM;Трубка 305 ТВ-40, 40, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_40_WHTV;ГОСТ 19034-82;
